岗位名称,公司名称,薪资,工作地点,岗位需求,时间要求,关键技术
FAE技术支持工程师（测绘、GNSS）实习岗,井融网络,200-300元/天,上海浦东新区盛大全球研发中心张衡路666弄2号楼203,"岗位职责：
1、 掌握公司产品知识，协助销售处理售前问题。
2、 向客户提供产品相关技术支持，积极跟进解决客户问题；及时与研发交流反馈。
3、 产品演示和客户培训。
任职要求：
1、 本科及以上学历，测绘工程、大地测量、地理信息等相关专业在校生且有转正留本公司意愿。
2、 英语水平：优秀的读写能力，良好的口语水平。（主要面对海外客户）
3、 具有良好的沟通能力，做事积极主动，勤奋踏实，责任心强，有较强的团队合作能力。
加分项
有以下行业经验：仪器仪表/工业自动化","3天/周
3个月
本科","产品咨询,技术沟通,"
宠物产品开发实习,上海丸宠贸易工作室,150-250元/天,上海静安区宝矿洲际商务中心901,"公司名称：上海方朗食品有限公司
公司背景：100亿美元体量的方源资本全资公司，具备强大的资金链和资源体系。已拥有40亿销售额体量的人用膳食营养品牌朗迪，现准备进军宠物行业。
1. 工作内容： 协助产品经理寻找合适的宠物食品和包材代工厂，并协助沟通与谈判。
2. 经历要求：
1）宠物营养学专业学生
2）对宠物行业趋势高度敏感
3）热爱宠物行业
3. 个人要求：
1） 责任心强，工作积极主动
2） 为人正直、纯粹，对宠物事业充满热情，富有创新精神
3） 沟通能力强、性格乐观，愿意与他人互帮互助","4天/周
3个月
本科","C端产品,用户产品,宠物,产品开发,有趣可爱的实习机会,"
C++开发实习,衍复投资,650-700元/天,上海徐汇区绿地中心A座A座9楼901,"工作职责:
1. 负责策略研究需求的设计和实现；
2. 参与量化交易系统的设计开发和维护；
3. 参与大数据平台的开发和优化。
任职资格:
1. 2023届或2024届国内外名校，本科及以上学历，计算机相关专业；
2. 熟练掌握常用的数据结构和算法；
3. 熟练掌握C++；
4. 思路清晰，逻辑能力强；
5. 实习3个月，每周至少4天（不支持线上实习）；","5天/周
3个月
本科","数据结构,C++,系统开发,"
Hololens开发实习,申幻科技,200-300元/天,上海徐汇区上海光大会展中心F座14-1406,"工作要求：
1.负责基于Hololens等混合现实平台的应用程序框架设计;
2.基于Unity 3D等或UE4引擎进行Hololens功能开发；
3.对接美术资源(3D内容)，实现相关功能编码、测试、发布；
4.其他项目中涉及到增强现实技术的研发支持；
5.有创造力，技术全面，对技术有热情，关注技术的未来发展方向；
任职要求：
1.有相关Hololens或其他混合现实硬件开发经验，可以是自主开发；
2.熟悉vuforia开发优先考虑；
3.有完整的Hololens或其他混合现实项目经历(请附上案例)；
4.精通C#，具有良好的编写代码习惯，熟悉其他计算机语言更佳；
5.对虚拟现实，人工智能等前沿科技有高度的热情，有较强的自主学习能力；
6.工作认真负责，有较好的团队沟通协作能力
7.能够独立承担项目开发工作，具有比较强的团队意识，我们是一个团体。","4天/周
3个月
高中","游戏引擎,C#,实习,hololens,u3d,"
web前端开发（实习）,垣沁,200-250元/天,上海静安区通用大厦1903室,"1 计算机、软件工程、应用数学 相关专业本科以上学历；       
2 熟练使用Web前端技术（HTML、HTML5、CSS3、Javascript、JQuery等）；        
3 熟悉 Vue、Bootstrap、React等前端框架中的任意一种；       
4 熟悉NodeJs、Webpack、LessSass、GulpGrunt等前端框架工具中的任意一种；       
5 熟悉常见的电子交换文档格式：JSON，XML，CSV等；       
6 熟悉ASP.Net MVC、WebAPI等开发技术的基础概念。
培养计划
1. 技术大咖、言传身教
技术大牛带教、专业技术指导和教学
拥有专业团队、掌握最新最前沿技术
2.发展通道（两类人才：管理、专业）
提供适合个人发展的方向：管理/专业职级
员工晋升的阶梯模式：初/中/高级
帮助员工完成3个历程转变，规划完成职业生命周期
3.人才培养“接地气”
注重研发方向间的交叉性应用
实现“互联网＋”与软件工程协同共振
做好人才的选、用、育、留
4.完备的培训机制
阶段递进式循环培训体系
激励员工自我成长
在专业领域方面聚焦修炼","3天/周
6个月
本科","前端开发,.NET,"
Python开发实习,格蓝威驰科技,120-170元/天,上海普陀区欧爱喜中心(宁夏路)5层,"岗位职责：
1、负责金融投研系统python开发、迭代和维护；
2、协助python算法设计、调优与数据库操作实施；
3、熟悉相关数据库语言。
任职要求：
1、计算机、软件工程、信息技术等相关专业本科及以上；
2、有扎实的计算机知识基础，有与计算机相关的项目经验优先；
3、有良好的职业素养，善于沟通交流，具有团队合作精神；
4、可留用。","3天/周
3个月
本科","Python,计算机相关专业,后端,"
无线通信技术FPGA开发实习,中科院计算所,190-200元/天,上海浦东新区上海处理器技术创新中心上海市浦东新区环科路555号,"专 业：通信、计算机或相关专业
学 历：硕士及以上
招聘人数：3人
工作地点：上海、北京2选1
岗位职责： 
1. 参与下一代无线通信技术的FPGA基带算法实现；
2. 参与完成FPGA的概要设计、仿真设计、平台测试； 
3. 负责编写相关技术文件。 
任职要求： 
1、 熟练使用FPGA开发和仿真工具；
2、 熟悉至少一门硬件描述语言，如Verilog，SystemC等；
3、 熟悉FPGA在线调试工具的使用，如示波器，逻辑分析仪等；
4、 熟悉WiFi，LTE、5G NR等至少一种制式的物理层协议；
5、 具有良好的沟通表达能力，逻辑思考能力和团队协作能力；","5天/周
8个月
硕士","Verilog,"
web前端开发（实习）,神州灵云,150-230元/天,上海闵行区宏汇莲花广场B座301,"参与企业级监控软件产品的开发工作，产品型公司非外包。
1. 熟练掌握前端开发基本技能，包括但不限于 HTML、CSS、JavaScript等，有扎实的javascript基本功
2. 了解Vue，有使用经验
3. 熟练使用git/svn
4. 较强的编码能力，对代码质量自我要求严格
5. 有较强的学习能力，较好的英语阅读能力","3天/周
6个月
本科","前端开发,JavaScript,TypeScript,Vue,Web端,GIT,"
独立游戏unity开发实习(线上办公),融之壳,100-200元/天,上海杨浦区杨浦图书馆(南门)0000,"要求：
-掌握unity引擎开发技术，有个人游戏项目更佳
-掌握c#，数据结构算法，熟悉常见游戏框架设计模式
-需要你是一个真正热爱游戏的玩家，要有丰富的游戏经验，我们需要的不只是程序员，而是游戏创造者
线上办公不限制地点，时间自由，比较适合在校学生党","5天/周
6个月
本科","Unity3D,C#,计算机/软件工程相关专业,Unity3D开发经验,"
Java开发实习生,米学,200-300元/天,上海闵行区上海金茂工业园区E栋5楼,"岗位职责：
1、在项主管及软件工程师的带领下进行Java程序开发，负责功能代码实现；
2、负责相关技术文档的编写；
3、按照测试文档要求进行内部交付测试，负责部分测试工作；
4、根据用户需要进行系统维护；
5、完成主管交办的其他工作。
任职要求：
1、专科及以上学历，计算机相关专业；
2、Java基础扎实，了解各种开源框架，如：spring、SpringBoot，MyBatis；
3、了解Mysql数据库;
4、具备良好的沟通能力、团队合作精神；工作踏实努力，积极主动，能承受工作压力","5天/周
6个月
本科","Java,"
java开发实习生,城建信息,180-240元/天,上海杨浦区上海城建信息科技有限公司3层,"1、本科或以上学历，计算机相关专业在校学生；
2、熟练使用java语言基础，了解SSH或SSM等框架；
3、对分布式开发有一定的了解；
4、完成交代的日常项目研发工作；
5、非在校生勿扰；
6、仅考虑24届及往后届毕业生；
7、学校在上海的优先考虑；
8、愿意做全栈（前后端）开发者优先；
9、有土木专业知识基础者优先；","4天/周
6个月
本科","Java,SQL,Spring,Hibernate,Dubbo,Mybatis,MySQL,"
Java开发实习生,SFS施福圣,150-200元/天,上海普陀区上海兴远置业创业楼7号楼305-307室,"岗位职责：
1、主动学习，快速理解公司业务要求，快熟熟悉公司产品技术
2、负责Java项目模块的程序设计、编码
3、测试产品性能、修复产品bug，辅助项目推进
岗位要求：
1、全日制统招本科以上学历，计算机相关专业优先
2、良好的Java基础知识
3、良好的html，js，css，node.js,vue等前端研发基础知识
4、具备Mysql及常用sql优化基本知识
5、具备SpringMVC，SpringBoot，SpringCloud，MyBatis等开源框架基本知识者优先
6、有较强的学习功能，热爱软件开发
7.实习期时间：不低于3个月，招长期实习生！
实习生 （专科）150/天，有住宿补贴
实习生（本科）180/天，有住宿补贴
实习期表现优异，可转至200/天","5天/周
4个月
大专","软件工程师,后端开发,Windows,SpringBoot,SQL Server,,,,"
后端开发实习生,经证科技,200-250元/天,上海徐汇区东航·滨江中心T2,"【工作内容】：
1、在软件工程师的带领下进行Java程序开发，负责功能代码实现；
2、负责相关技术文档的编写；
3、按照测试文档要求进行内部交付测试，负责部分测试工作；
4、完成主管交办的其他工作。
【岗位要求】：
1、本科及以上学历，计算机相关专业；
2、Java基础扎实，了解JVM模型及原理；
3、了解JavaScript、AJAX , 了解HTML,CSS,XML;
4、思路清晰、善于思考，具备独立分析及解决问题能力。","4天/周
3个月
本科","下肢残疾,肢体残疾,后端工程师,"
java开发实习生,坦思计算机,3-4K,上海普陀区天地科技广场2号楼403,"岗位要求：
1、计算机相关专业应届生，全日制学信网可查，对软件开发有浓厚兴趣，基础知识好；
2、熟悉java语言开发；
3、参与过项目研发，或者做过一些demo小案例；
4、具有较强的责任心，对于交办的工作认真负责，遇到问题能勤于思考，具有独立解决问题的能力；
5、工作态度认真、细心，语言表达能力强，无沟通障碍，能够进行团队协作。
表现优异者，毕业后可直接转正。
公司福利：五险一金、绩效奖金、年终奖金、定期体检、节日福利
职位招聘2人","在校/应届
本科","计算机软件,"
实习生-软件开发岗位,墨烨科技,180-190元/天,上海松江区岩氪广场1号楼B幢501室,"职位描述：
配合项目经理/其他软件开发工程师完成指定模块/功能的开发。
软件/系统操作手册编写。
系统/软件的测试。
岗位要求：
1、全日制本科及以上学历大四在读，计算机相关专业；
2、至少熟悉一门编程语言，且基础扎实，如Java, c#, PHP, python等；
3、积极乐观，热衷学习新技术/新知识，有团队协作精神；
4、在上海有固定住所。
加入我们你将获得：
1、世界500强企业项目实操经验（同届毕业生中实数难得的机会）；
2、业内资深技术骨干手把手教授专业技术和能力；
3、外企管理氛围；
4、逢年过节发放节日礼品、聚餐等；
5、表现优异者可转正，转正后第一年薪资7-9千元/月；
实习期到岗薪资：
100元/天","4天/周
6个月
本科","Java,JavaScript,MySQL,计算机/软件工程相关经验,"
【24届实习】Java开发实习生,安恒信息,180-230元/天,上海浦东新区上海张江高科技园区48幢,"岗位职责:
1.从事网络安全方向的产品研发工作；
2.负责辅助导师完成技术研究、产品功能开发、日常工作安排；
3.参与公司技术优化研讨、技术培训；
4.配合前端研发进行接口开发及其联调工作。
任职要求:
1.2024届应届毕业生，统招本科及以上学历，计算机相关专业；
2.熟悉JAVA的基础理论基础语法，掌握Java语言，熟悉SpringBoot、mybatis、mybatisPlus等框架技术； 
3.熟悉mysql 数据库，能够熟练编写常规的简单sql语句；
4.经验不限，良好的沟通能力，较强的主观性工作意识；
5.有实习经验优先，有网络安全方面基础知识优先。","5天/周
6个月
本科","Java,"
金融软件开发实习生,卓临科技,3-7K,上海浦东新区森兰花园城南楼C座732,"岗位职责：
1、参与项目需求分析和设计；
2、根据模块需求，进行程序设计开发、单元测试；
3、参与分析并解决软件开发过程中的问题缺陷；
4、配合项目组完成其它相关目标工作任务；
5、进行相关文档或报告的编写。
任职要求：
1、本科及以上学历在校大学生，计算机、软件工程、大数据、金融等相关专业；
2、熟悉Spring boot、Mybatis、Spring mvc或其他主流框架；
3、熟悉主流数据库，如Sql Server或MySQL；
4、熟悉javascript、html5、bootstrap等前端技术优先；
5、有意向未来从事金融IT研发工作，富有较强的责任心、团队精神，以及具备良好的沟通能力；
6、每周需全勤到岗（特殊情况除外）。
备注：本岗位是面向金融领域。","在校/应届
本科","Java开发经验,Java,MyBatis,后端工程师,Spring,,"
JAVA实习生,缮瓷科技,180-220元/天,上海闵行区国家863软件专业孵化器(上海)基地1B业务楼207,"岗位要求
1. 有Java项目经验；
2. 熟悉SpringBoot开发；
3. 学习能力强；
4. 实习期3-9个月，可提供实习证明材料，项目经验资料；
5. 实习期结束后，择优转正为正式员工。培养方向：开发工程师、项目管理；
6. 目前仅对23年毕业的应届生开放岗位。
7. 公司有完善的技术架构、脚手架，有多个金融、汽车类成熟项目，学习成长机会多。","5天/周
6个月
大专","Java,Spring,MySQL,"
IT实习生,锦木,180-210元/天,上海静安区上海协信星光广场北里3号楼12A06-07室,"工作内容：
1.客户现场紧急支持
2.IT咨询服务
技能需求：
1.熟悉任意一种开发语言及其对应得开发框架：Java/Golang/Python， Spring 系列/Gin/Django 及其相关框架
2.熟练掌握任意一种数据库：SQLServer/DB2/Oracle/Mysql/Postgres/MongoDB/Redis/Hbase
3.熟练使用Linux/CentOS/MacOS操作系
4.了解或者对Hadoop/Spark/Flink感兴趣
其他：
1.性格积极主动，有责任感，有自驱力, 踏实努力，有团队合作精神
2.大学本科及以上学历，计算机相关专业，具备英语读写能力，CET4
内部发展方向:
1.技术支持助理（akamai海外cdn方向）
2.数据库运维工程师
3.Java开发工程师
4.前端工程师","3天/周
12个月
本科","Python,分布式技术,Spring,Redis,Oracle,NoSQL,,,"
java实习生,上海哲寻信息科技,150-250元/天,上海杨浦区湾谷科技园A4座1303室,"岗位职责：
1.负责协助工程师进行软件系统Java开发、调试工作 ;
2.负责协助项目后续维护和产品升级
3.热爱软件行业，并希望进去软件行业；
4.作为项目开发工程师的储备力量，承担部分项目开发的职责。
任职要求：
1.本科学历（第一学历），计算机、软件工程相关专业（211/985院校优先）； 
2.良好的沟通表达能力； 
3.有一定时间管理能力，能平衡实习与毕业，未来想往项目开发的方向发展；","3天/周
6个月
本科","MySQL,JavaScript,Java,全栈开发,MySQL,Spring,,,"
